City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Acapulco,MX,11/7/2021 0:41,16.8634,-99.8901,79.16,84,10,4.68
278,Maragogi,BR,11/7/2021 0:41,-9.0122,-35.2225,78.22,86,18,9.17
279,Karratha,AU,11/7/2021 0:41,-20.7377,116.8463,82.74,41,5,9.13
280,Kichera,RU,11/7/2021 0:41,55.9375,110.0997,20.17,93,100,1.81
281,Boa Vista,BR,11/7/2021 0:41,2.8197,-60.6733,85.98,62,40,2.3
282,Naze,JP,11/7/2021 0:41,28.3667,129.4833,72.52,73,52,19.64
283,Bandarbeyla,SO,11/7/2021 0:41,9.4942,50.8122,75.25,79,29,10
284,Capao Da Canoa,BR,11/7/2021 0:41,-29.7456,-50.0097,64.81,82,100,8.88
285,Coquimbo,CL,11/7/2021 0:41,-29.9533,-71.3436,56.93,82,0,9.22
286,Faya,SA,11/7/2021 0:41,18.3851,42.4509,54.12,64,0,3.67
287,Davila,PH,11/7/2021 0:41,18.4726,120.5763,82.38,71,1,8.37
288,Hofn,IS,11/7/2021 0:41,64.2539,-15.2082,36.95,90,100,7.81
289,Belmonte,BR,11/7/2021 0:41,-15.8631,-38.8828,77.5,89,100,8.3
290,Iqaluit,CA,11/7/2021 0:38,63.7506,-68.5145,22.73,73,40,13
291,Abalak,RU,11/7/2021 0:41,58.1286,68.5944,34.77,78,100,14.2
292,Guerrero Negro,MX,11/7/2021 0:40,27.9769,-114.0611,67.84,79,100,11.36
293,Kavieng,PG,11/7/2021 0:41,-2.5744,150.7967,85.8,69,20,15.1
294,Airai,TL,11/7/2021 0:41,-8.9266,125.4092,75.72,51,42,1.9
295,Puerto Escondido,MX,11/7/2021 0:41,15.85,-97.0667,83.23,74,40,4.61
296,Brae,GB,11/7/2021 0:40,60.3964,-1.353,49.91,82,100,21.92
297,Taoudenni,ML,11/7/2021 0:39,22.6783,-3.9836,75.79,19,0,5.28
298,Tucurui,BR,11/7/2021 0:41,-3.7661,-49.6725,75.04,93,88,3.31
299,Kensington,AU,11/7/2021 0:41,-33.9167,151.2167,74.05,77,75,8.05
300,Havre-Saint-Pierre,CA,11/7/2021 0:41,50.2334,-63.5986,46.4,81,90,20.71
